NameID,XFMR_KVA_RATING,PRIMARY_VOLTAGE,CLASSIFICATION,PCB,PHASE,NO_CUSTOMERS,INSTALLATION_DATE,YEAR,MONTH,YEAR_RANGE,LOWER_VOLTAGE,UPPER_VOLTAGE
TX2181,100.0,16kV,Submersible,NO,W,41,2018-12-17 05:13:00,2018,12,2016 - 2019,16.0,
TX1455,167.0,8kV,Pole,NO,B,31,2019-03-29 04:40:00,2019,3,2016 - 2019,8.0,
TX1522,100.0,2.4kV,Pole,NO,W,57,2018-11-18 03:50:00,2018,11,2016 - 2019,2.4,
TX1490,100.0,16kV,Submersible,NO,B,49,2019-02-11 05:46:00,2019,2,2016 - 2019,16.0,
TX1346,2500.0,13.8/8kV,Building Vault,NO,RWB,38,2019-07-19 01:43:00,2019,7,2016 - 2019,13.8,8.0
TX1865,100.0,16kV,Pad,NO,R,35,2019-10-08 02:12:00,2019,10,2016 - 2019,16.0,
TX2184,250.0,16kV,Submersible,NO,R,16,2019-09-11 04:06:00,2019,9,2016 - 2019,16.0,
TX1456,333.0,8kV,Building Vault,NO,B,20,2019-05-29 01:43:00,2019,5,2016 - 2019,8.0,
TX2489,100.0,16kV,Submersible,NO,W,36,2019-04-17 07:33:00,2019,4,2016 - 2019,16.0,
TX1864,100.0,16kV,Submersible,NO,W,32,2019-04-18 13:30:00,2019,4,2016 - 2019,16.0,
TX1692,100.0,16kV,Submersible,YES,W,28,2019-04-23 08:14:00,2019,4,2016 - 2019,16.0,
TX2261,100.0,16kV,Submersible,YES,B,17,2019-07-25 03:21:00,2019,7,2016 - 2019,16.0,
TX2393,100.0,16kV,Submersible,YES,B,44,2019-07-26 03:38:00,2019,7,2016 - 2019,16.0,
TX1781,100.0,16kV,Submersible,YES,B,39,2019-08-07 04:20:00,2019,8,2016 - 2019,16.0,
TX2127,167.0,16kV,Pole,YES,R,990,2019-09-07 03:24:00,2019,9,2016 - 2019,16.0,
TX2324,100.0,2.4kV,Building Vault,NO,R,30,2015-11-04 02:22:00,2015,11,2012 - 2015,2.4,
TX1898,333.0,16kV,Submersible,NO,R,44,2015-11-11 03:07:00,2015,11,2012 - 2015,16.0,
TX2031,100.0,16kV,Pole,NO,B,39,2018-10-30 04:49:00,2018,10,2016 - 2019,16.0,
TX2134,100.0,16kV,Submersible,NO,R,44,2019-05-30 13:24:00,2019,5,2016 - 2019,16.0,
TX1348,100.0,16kV,Pad,NO,W,37,2019-11-21 11:53:00,2019,11,2016 - 2019,16.0,
TX1863,100.0,16kV,Submersible,NO,R,28,2019-06-12 03:32:00,2019,6,2016 - 2019,16.0,
TX2119,100.0,16kV,Submersible,NO,W,46,2020-05-13 01:42:00,2020,5,2020 - 2023,16.0,
TX1342,100.0,16kV,Submersible,NO,B,58,2020-05-13 05:20:00,2020,5,2020 - 2023,16.0,
TX2394,100.0,16kV,Submersible,NO,R,58,2019-09-23 06:45:00,2019,9,2016 - 2019,16.0,
TX2000,100.0,16kV,Submersible,NO,W,59,2019-07-11 00:51:00,2019,7,2016 - 2019,16.0,
TX2033,167.0,16kV,Pad,NO,W,29,2019-08-29 05:34:00,2019,8,2016 - 2019,16.0,
TX2335,100.0,16kV,Submersible,NO,W,35,2020-03-04 05:51:00,2020,3,2020 - 2023,16.0,
TX1555,1500.0,27.6/16kV,Pad,NO,RWB,24,2020-06-04 03:15:00,2020,6,2020 - 2023,27.6,16.0
TX1549,100.0,16kV,Submersible,NO,W,52,2019-08-29 03:12:00,2019,8,2016 - 2019,16.0,
TX1530,100.0,16kV,Submersible,NO,R,16,2020-02-03 04:17:00,2020,2,2020 - 2023,16.0,
TX1632,100.0,16kV,Submersible,NO,R,52,2019-09-11 07:07:00,2019,9,2016 - 2019,16.0,
TX2109,100.0,16kV,Submersible,NO,B,37,2019-09-12 05:40:00,2019,9,2016 - 2019,16.0,
TX1172,750.0,13.8/8kV,Building Vault,NO,RWB,18,2020-10-06 03:08:00,2020,10,2020 - 2023,13.8,8.0
TX1525,100.0,16kV,Submersible,NO,W,51,2020-04-19 03:12:00,2020,4,2020 - 2023,16.0,
TX1742,250.0,16kV,Building Vault,NO,B,59,2021-07-22 07:33:00,2021,7,2020 - 2023,16.0,
TX1028,100.0,8kV,Submersible,NO,R,50,2019-09-26 06:38:00,2019,9,2016 - 2019,8.0,
TX2354,167.0,8kV,Pole,NO,B,55,2020-06-11 03:10:00,2020,6,2020 - 2023,8.0,
TX1181,100.0,2.4kV,Pole,NO,W,52,2020-02-03 01:57:00,2020,2,2020 - 2023,2.4,
TX2356,1000.0,27.6/16kV,Pad,NO,RWB,51,2019-12-09 08:13:00,2019,12,2016 - 2019,27.6,16.0
TX1917,100.0,16kV,Pole,NO,B,57,2020-05-19 01:15:00,2020,5,2020 - 2023,16.0,
TX1355,100.0,16kV,Pad,NO,R,24,2020-09-21 03:41:00,2020,9,2020 - 2023,16.0,
TX2259,50.0,16kV,Pole,NO,W,56,2019-10-06 01:56:00,2019,10,2016 - 2019,16.0,
TX2071,100.0,16kV,Submersible,NO,W,17,2019-09-20 01:35:00,2019,9,2016 - 2019,16.0,
TX1524,100.0,2.4kV,Submersible,NO,B,27,2019-11-09 00:59:00,2019,11,2016 - 2019,2.4,
TX1931,100.0,16kV,Submersible,NO,B,49,2019-11-09 08:35:00,2019,11,2016 - 2019,16.0,
TX1264,100.0,16kV,Building Vault,NO,B,60,2019-05-30 04:17:00,2019,5,2016 - 2019,16.0,
TX2341,167.0,8kV,Pole,YES,W,43,2020-11-09 09:54:00,2020,11,2020 - 2023,8.0,
TX2183,100.0,16kV,Submersible,YES,R,57,2019-11-26 06:54:00,2019,11,2016 - 2019,16.0,
TX1063,100.0,16kV,Submersible,YES,B,15,2019-06-27 02:18:00,2019,6,2016 - 2019,16.0,
TX2120,100.0,16kV,Submersible,NO,B,17,2020-09-04 07:10:00,2020,9,2020 - 2023,16.0,
TX1344,100.0,16kV,Submersible,NO,R,25,2020-08-20 04:59:00,2020,8,2020 - 2023,16.0,
TX1161,100.0,16kV,Submersible,NO,R,21,2019-12-02 07:36:00,2019,12,2016 - 2019,16.0,
